Date,Benchmark Eurostoxx50,Benchmark Stoxx600,Consumer,Energy,Finance,Healthcare,Industrial,Materials,Technology
2010-01-05,-0.0018026182378658717,-0.00023286458379601083,-0.0047859328372780174,0.0,0.0,0.0,0.001582338046346221,0.008935882489711666,-0.004661839993884365
2010-01-06,-0.0008963720193503333,0.0014363722289205683,0.0006012174019527361,0.0,0.0,0.0,0.007503970476530508,0.016172535918494546,-0.0014050015868262156
2010-01-07,-0.0007707928093191319,0.0003101918611192467,0.004806216774038363,0.0,0.0,0.0,0.003919943099119472,0.001325903408406992,-0.0030490178326348927
2010-01-08,0.003494785909962328,0.004301601747037864,0.00209285875583487,0.0,0.0,0.0,0.006247513268822447,0.011352877386909599,0.007762662362616357
2010-01-11,-0.002521698287063723,-0.001311967377573997,0.0005966547291229585,0.0,0.0,0.0,0.001164211554883554,-0.010102713682992648,0.006069426037605297
2010-01-12,-0.011078883333037304,-0.009389098947891528,-0.009839128761650717,0.0,0.0,0.0,-0.01666694455774842,-0.024381047735883232,-0.017401344624397685
2010-01-13,0.0005106065679618688,0.0022622145300712493,0.010538806497460529,0.0,0.0,0.0,0.004729985939722958,0.0025184555990820368,0.009444764464763278
2010-01-14,0.003793987114460773,0.007316333068687619,0.005363650786518015,0.0,0.0,0.0,0.007454304027370018,0.017584324445038213,0.0044443885245106785
2010-01-15,-0.016543397715406027,-0.009272113778549973,0.0020747923725519257,0.0,0.0,0.0,-0.00778854784188443,-0.014052371402990316,-0.030507513962723554
2010-01-18,0.005992727552929233,0.006902156437454732,0.018337571423878707,0.0,0.0,0.0,0.005102305002148588,0.01983836667993133,0.0
2010-01-19,0.00911126929315631,0.007939345410278298,0.00842310080247577,0.0,0.0,0.0,0.006638070822104103,0.011520321885764684,0.012010735372737225
2010-01-20,-0.023525696388701167,-0.015215637531952764,-0.00921660488278031,0.0,0.0,0.0,-0.015128039220310696,-0.03827464771429201,-0.03346807897039328
2010-01-21,-0.017618230953036274,-0.01381191359631384,-0.014825828136717845,0.0,0.0,0.0,-0.014966375819970401,-0.04018669839003297,-0.03438128570643584
2010-01-22,-0.009237737246791222,-0.011275482302044226,-0.011507863069616153,0.0,0.0,0.0,-0.010395991273478677,-0.005258645555456631,-0.015767831606765648
2010-01-25,-0.010399040994160447,-0.006482375063972534,0.0014925672148238256,0.0,0.0,0.0,-0.001616513763962213,-0.008946745478643936,0.006976592916442703
2010-01-26,0.007280996349065871,0.0045108961547468684,0.013710557358232123,0.0,0.0,0.0,0.005666083579765946,-0.011079356357816872,-0.0025658284213847526
2010-01-27,-0.014265840575845012,-0.008419895243498843,0.005586984298388664,0.0,0.0,0.0,-0.00040230874933522287,-0.014315514302576493,-0.0020578956216361632
2010-01-28,-0.017962913816797266,-0.010917459766673798,-0.013158233952496157,0.0,0.0,0.0,-0.015298142239905999,-0.024205371908188278,-0.02346005341039803
2010-01-29,0.014430119449480694,0.009607154644748261,0.011556148569138225,0.0,0.0,0.0,0.011038478652997119,0.012942052884962418,-0.011615737800903303
2010-02-01,0.005927608270728024,0.005911853803801215,-0.0002931023277891187,0.0,0.0,0.0,0.0028309927822902647,0.014906506487609716,0.025908292134458666
2010-02-02,0.013145777985679175,0.009580568796212274,0.008496907372790297,0.0,0.0,0.0,0.014515701561555794,0.028115513202876086,0.01874543231276693
2010-02-03,-0.00897519876470454,-0.0055821735974400655,-0.0014528256426478148,0.0,0.0,0.0,-0.0027821317737272144,-0.01591796860097927,-0.013288971305335573
2010-02-04,-0.03464301722114027,-0.026864463160424568,-0.019202596714609,0.0,0.0,0.0,-0.02471134845050149,-0.04479466246906194,-0.05931128165602695
2010-02-05,-0.028000539238384414,-0.021590400907555263,-0.02195195779702619,0.0,0.0,0.0,-0.020433124812417436,-0.018454194416085867,-0.017345775088416726
2010-02-08,0.012406768333485418,0.0061062785616332604,0.00940222711971983,0.0,0.0,0.0,0.0,0.012828871354507942,-0.008966398568628131
2010-02-09,0.0015538445579978966,0.0011719843246618122,0.0015027504556412996,0.0,-0.06711139807137312,0.0,0.005006347415686507,0.02074671911604553,0.041277995106051346
2010-02-10,0.011894631317847848,0.007190941106012261,0.006300786429619842,0.0,0.0,0.0,0.0020757033668552527,-0.021180527270962313,-0.008145579938402814
2010-02-11,-0.00737728456036113,0.003445277566052729,0.014907473613438027,0.0,0.0,0.0,0.009942080934972175,0.027540769948334765,-0.004105816961067821
2010-02-12,-0.002160260819886184,-0.002978411534467984,0.002056506692692972,0.0,-0.026202727914986568,0.0,-0.01394593812403011,-0.0072327601624440074,-0.009346255511967438
2010-02-15,0.0035035548575628184,0.003734104557840068,-0.0017591575302844387,0.0,0.0,0.0,0.004991468788000164,0.013070648884267788,0.0
2010-02-16,0.013763889788453776,0.010168678623043048,-0.009985405084274368,0.0,0.02152630890676388,0.0,0.007450563745928118,0.02770768810045432,0.03107704074122508
2010-02-17,0.015245676838168132,0.01354446964751066,0.018688735034291026,0.0,0.03639849375739512,0.0,0.020131612036649038,0.009466743781394005,-0.002421823207732765
2010-02-18,0.005810498263417507,0.0058540794297308185,0.013104666418242372,0.0,0.00046215164700491584,0.0,0.01570654886045242,0.014678726222155047,0.008631859369021111
2010-02-19,0.005424204763532003,0.0046560314078476495,0.007473058694032142,0.0,-0.009237696926370886,0.0,0.003965304514575108,-0.007634710774295894,-0.0029419085677044876
2010-02-22,-0.005459355316421277,-0.002516999101602968,-0.005420379591018709,0.0,0.0,0.0,0.001184807470921756,0.004049014249153604,-0.0029506713768799875
