Date,Benchmark Eurostoxx50,Benchmark Stoxx600
2021-02-04,3642.1201171875,409.5400085449219
2021-02-05,3655.77001953125,409.5400085449219
2021-02-08,3665.510009765625,410.7799987792969
2021-02-09,3661.1298828125,410.4200134277344
2021-02-10,3648.3701171875,409.4700012207031
2021-02-11,3671.679931640625,411.3500061035156
2021-02-12,3695.610107421875,414.0
2021-02-15,3734.199951171875,419.4700012207031
2021-02-16,3726.39990234375,419.2000122070313
2021-02-17,3699.85009765625,416.1000061035156
2021-02-18,3681.0400390625,412.7000122070313
2021-02-19,3713.4599609375,414.8800048828125
2021-02-22,3699.85009765625,413.05999755859375
2021-02-23,3689.10009765625,411.3200073242188
2021-02-24,3705.989990234375,413.2099914550781
2021-02-25,3685.280029296875,411.7300109863281
2021-02-26,3636.43994140625,404.989990234375
2021-03-01,3706.6201171875,412.4400024414063
2021-03-02,3707.719970703125,413.2300109863281
2021-03-03,3712.780029296875,413.4200134277344
2021-03-04,3704.85009765625,411.9100036621094
2021-03-05,3669.5400390625,408.6799926757813
2021-03-08,3763.239990234375,417.25
2021-03-09,3786.050048828125,420.4100036621094
2021-03-10,3819.919921875,422.1099853515625
2021-03-11,3845.639892578125,424.1700134277344
2021-03-12,3833.360107421875,423.0799865722656
2021-03-15,3829.840087890625,423.0799865722656
2021-03-16,3850.9599609375,426.8200073242188
2021-03-17,3849.739990234375,424.9100036621094
2021-03-18,3867.5400390625,426.5899963378906
2021-03-19,3837.02001953125,423.3500061035156
2021-03-22,3833.840087890625,424.1700134277344
2021-03-23,3827.02001953125,423.30999755859375
2021-03-24,3832.550048828125,423.3900146484375
2021-03-25,3832.570068359375,423.0799865722656
2021-03-26,3866.679931640625,426.9299926757813
2021-03-29,3882.8701171875,427.6099853515625
2021-03-30,3926.199951171875,430.6499938964844
2021-03-31,3919.2099609375,429.6000061035156
2021-04-01,3945.9599609375,432.2200012207031
2021-04-05,3945.9599609375,432.2200012207031
2021-04-06,3970.419921875,435.260009765625
2021-04-07,3956.77001953125,434.3200073242188
2021-04-08,3977.830078125,436.8599853515625
2021-04-09,3978.840087890625,437.2300109863281
2021-04-12,3961.89990234375,435.239990234375
2021-04-13,3966.989990234375,435.75
2021-04-14,3976.280029296875,436.5700073242188
2021-04-15,3993.429931640625,438.5499877929688
2021-04-16,4032.989990234375,442.489990234375
2021-04-19,4019.909912109375,442.1799926757813
2021-04-20,3940.4599609375,433.7999877929688
2021-04-21,3976.409912109375,436.6400146484375
2021-04-22,4014.800048828125,439.6300048828125
2021-04-23,4013.340087890625,439.0400085449219
2021-04-26,4020.830078125,440.2000122070313
2021-04-27,4011.909912109375,439.8500061035156
2021-04-28,4015.030029296875,439.9200134277344
2021-04-29,3996.89990234375,438.7699890136719
2021-04-30,3974.739990234375,437.3900146484375
2021-05-03,4000.25,439.9200134277344
2021-05-04,3924.800048828125,433.6499938964844
2021-05-05,4002.7900390625,441.5499877929688
2021-05-06,3999.43994140625,441.0199890136719
2021-05-07,4034.25,444.9299926757813
2021-05-10,4023.35009765625,445.3900146484375
2021-05-11,3946.06005859375,436.6099853515625
2021-05-12,3947.429931640625,437.9299926757813
2021-05-13,3947.429931640625,437.9299926757813
2021-05-14,4017.43994140625,442.5299987792969
2021-05-17,4006.840087890625,442.2900085449219
2021-05-18,4005.340087890625,443.0400085449219
2021-05-19,3936.739990234375,436.3399963378906
2021-05-20,3999.909912109375,441.8999938964844
2021-05-21,4025.780029296875,444.4400024414063
2021-05-24,4025.780029296875,444.4400024414063
2021-05-25,4036.0400390625,445.2000122070313
2021-05-26,4031.669921875,445.2200012207031
2021-05-27,4039.2099609375,446.4400024414063
2021-05-28,4070.56005859375,448.9800109863281
2021-05-31,4039.4599609375,446.760009765625
2021-06-01,4071.75,450.1000061035156
