,Benchmark Eurostoxx50,Benchmark Stoxx600,Consumer,Energy,Finance,Healthcare,Industrial,Materials,Technology
Benchmark Eurostoxx50,1.0,0.9568498110381771,0.7860836487775968,0.3132180823121928,0.7263932014656466,0.43819146228358147,0.8793177018628529,0.6893464608173424,0.7579142003027717
Benchmark Stoxx600,0.9568498110381771,1.0,0.8348061917324631,0.3439577380438833,0.6920068244837316,0.48245422994159476,0.9136178359146453,0.7410982332723837,0.6964531786651211
Consumer,0.7860836487775968,0.8348061917324631,1.0,0.2212753570411434,0.4920395128336534,0.4281059014717177,0.7747423029141667,0.5747843278544575,0.5448436279936465
Energy,0.3132180823121928,0.3439577380438833,0.2212753570411434,1.0,0.21541993691143754,0.2829733246528232,0.3184937196968429,0.37265677627427457,0.1769744791770004
Finance,0.7263932014656466,0.6920068244837316,0.4920395128336534,0.21541993691143754,1.0,0.27835836331998104,0.6432733780009482,0.5457289053332622,0.9024023400845913
Healthcare,0.43819146228358147,0.48245422994159476,0.4281059014717177,0.2829733246528232,0.27835836331998104,1.0,0.49548445601373425,0.34959892870394627,0.31682880339560837
Industrial,0.8793177018628529,0.9136178359146453,0.7747423029141667,0.3184937196968429,0.6432733780009482,0.49548445601373425,1.0,0.7099979090659458,0.6620692957287083
Materials,0.6893464608173424,0.7410982332723837,0.5747843278544575,0.37265677627427457,0.5457289053332622,0.34959892870394627,0.7099979090659458,1.0,0.5291582461209219
Technology,0.7579142003027717,0.6964531786651211,0.5448436279936465,0.1769744791770004,0.9024023400845913,0.31682880339560837,0.6620692957287083,0.5291582461209219,1.0
